"sampleName","cellLine","numberCells","technique","ip","patient","treatment","experimentName","biologicalReplicate","technicalReplicate","filePath","genome","tagmented"
,"ASP14","50k","ATAC-seq",,,"DOX","ATAC10-8",1,3,"/fhgfs/groups/lab_bsf/samples/BSF_0112_C55B1ACXX/BSF_0112_C55B1ACXX_2_samples/BSF_0112_C55B1ACXX_2#ATAC_10_8_ASP14_DOX_VORTEX.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"DOX","ATAC10-8",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_7_samples/BSF_0102_C49ATACXX_7#ATAC_10_8_ASP14_DOX_VORTEX.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"DOX","ATAC10-8",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0097_C4E8MACXX/BSF_0097_C4E8MACXX_3_samples/BSF_0097_C4E8MACXX_3#ATAC_10_1_ASP14_DOX_VORTEX.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"DOX","ATAC15-8",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_3_samples/BSF_0120_C5CVMACXX_3#ATAC15_8_ASP14_DOX_vortex.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"DOX","ATAC15-8",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#ATAC15_8_ASP14_DOX_vortex.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"untreated","ATAC10-7",1,3,"/fhgfs/groups/lab_bsf/samples/BSF_0112_C55B1ACXX/BSF_0112_C55B1ACXX_2_samples/BSF_0112_C55B1ACXX_2#ATAC_10_7_ASP14_untreated_VORTEX.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"untreated","ATAC10-7",1,2,"/fhgfs/groups/lab_bsf/samples/BSF_0102_C49ATACXX/BSF_0102_C49ATACXX_7_samples/BSF_0102_C49ATACXX_7#ATAC_10_7_ASP14_untreated_VORTEX.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"untreated","ATAC10-7",1,1,"/fhgfs/groups/lab_bsf/samples/BSF_0097_C4E8MACXX/BSF_0097_C4E8MACXX_3_samples/BSF_0097_C4E8MACXX_3#ATAC_10_1_ASP14_untreated_VORTEX.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"untreated","ATAC15-4",2,2,"/fhgfs/groups/lab_bsf/samples/BSF_0120_C5CVMACXX/BSF_0120_C5CVMACXX_3_samples/BSF_0120_C5CVMACXX_3#ATAC15_4_ASP14_untreated_vortex.bam","hg19","yes"
,"ASP14","50k","ATAC-seq",,,"untreated","ATAC15-4",2,1,"/fhgfs/groups/lab_bsf/samples/BSF_0113_C558FACXX/BSF_0113_C558FACXX_3_samples/BSF_0113_C558FACXX_3#ATAC15_4_ASP14_untreated_vortex.bam","hg19","yes"
